Município;08/19;09/19;10/19;11/19;12/19;01/20;02/20;03/20;04/20;05/20;06/20;07/20;08/20;09/20;10/20;11/20;12/20;01/21
280380 Malhada dos Bois;0;1;1;4;1;3;3;2;3;3;3;5;1;4;2;0;3;1
280390 Malhador;6;10;9;3;4;4;7;9;2;11;14;11;13;6;12;3;5;9
280400 Maruim;7;13;5;5;4;11;5;9;6;8;21;18;8;5;9;6;8;10
280410 Moita Bonita;6;7;6;3;5;14;5;8;8;7;7;7;1;7;15;6;7;6
280420 Monte Alegre de Sergipe;3;5;5;6;12;7;5;7;5;1;4;13;6;8;6;9;7;3
280430 Muribeca;11;3;4;4;5;5;6;3;10;3;5;4;4;8;4;2;5;9
280440 Neópolis;6;12;6;13;19;10;7;16;12;7;19;17;5;11;11;12;16;9
280445 Nossa Senhora Aparecida;7;3;4;3;5;1;2;6;5;4;5;5;8;3;6;1;7;3
280450 Nossa Senhora da Glória;17;19;19;16;11;19;19;13;29;18;15;32;31;19;17;22;26;27
280460 Nossa Senhora das Dores;10;8;9;17;14;19;10;22;16;14;15;28;15;17;27;13;19;9
280470 Nossa Senhora de Lourdes;4;5;1;2;2;4;4;4;6;4;7;4;1;5;5;5;0;5
280480 Nossa Senhora do Socorro;83;92;81;71;79;79;72;102;95;103;134;128;104;105;75;84;83;88
280490 Pacatuba;9;7;6;6;4;7;5;13;6;12;12;13;7;8;6;9;15;6
280500 Pedra Mole;0;0;2;2;1;2;2;2;2;2;2;1;6;1;2;0;4;2
280510 Pedrinhas;2;5;6;4;5;4;5;4;3;4;3;8;12;4;5;4;7;7
280520 Pinhão;7;5;2;3;3;4;3;2;6;6;2;6;6;3;3;8;5;3
280530 Pirambu;6;6;6;5;2;5;6;6;4;6;3;5;4;3;8;4;6;4
280540 Poço Redondo;17;11;13;12;13;9;10;18;12;16;16;11;10;16;12;15;15;17
280550 Poço Verde;20;15;15;15;22;13;13;8;11;13;21;17;20;21;18;6;20;18
280560 Porto da Folha;18;18;15;12;18;11;18;11;10;16;13;21;15;20;13;16;16;14
280570 Propriá;21;9;15;10;17;19;23;23;17;17;17;36;25;20;16;19;14;21
280580 Riachão do Dantas;10;11;12;11;8;9;10;11;8;12;13;19;9;9;7;6;9;14
280590 Riachuelo;5;8;5;8;4;4;4;2;8;4;9;12;6;7;11;5;7;5
280600 Ribeirópolis;15;10;11;12;11;8;11;12;6;7;12;17;13;21;8;13;14;9
280610 Rosário do Catete;4;4;2;1;3;5;5;8;3;2;4;12;6;4;6;7;4;5
280620 Salgado;12;7;9;5;12;13;11;6;10;15;17;13;11;5;10;13;6;15
280630 Santa Luzia do Itanhy;4;9;5;2;8;4;7;3;6;4;8;4;6;6;3;10;5;14
280640 Santana do São Francisco;7;4;6;0;8;3;0;4;2;6;7;5;7;3;3;4;1;8
280650 Santa Rosa de Lima;1;2;1;3;2;2;7;3;2;0;1;3;1;0;6;3;1;0
280660 Santo Amaro das Brotas;7;10;10;3;5;7;11;3;10;14;9;11;1;3;7;3;5;8
280670 São Cristóvão;46;25;46;38;46;39;42;38;39;51;70;61;44;41;44;28;42;39
280680 São Domingos;6;4;2;6;8;4;4;5;6;8;5;10;4;3;5;4;7;4
280690 São Francisco;2;1;0;2;2;1;2;1;2;1;2;4;4;3;4;3;1;5
280700 São Miguel do Aleixo;3;1;2;2;2;1;1;4;3;0;2;2;4;1;5;3;4;2
280710 Simão Dias;21;21;24;31;30;35;17;29;25;27;22;33;38;25;21;24;30;32
280720 Siriri;2;4;2;1;4;7;4;5;3;2;5;3;8;7;4;2;5;9
280730 Telha;2;2;2;1;2;2;1;1;2;3;4;7;4;1;1;1;5;5
280740 Tobias Barreto;24;25;29;22;15;21;30;28;23;33;27;54;38;29;31;34;27;34
280750 Tomar do Geru;6;6;4;9;4;5;7;8;7;7;9;16;5;5;4;6;4;4
280760 Umbaúba;15;20;4;10;14;14;16;16;18;17;21;25;11;15;10;9;16;9
