Município;08/17;09/17;10/17;11/17;12/17;01/18;02/18;03/18;04/18;05/18;06/18;07/18;08/18;09/18;10/18;11/18;12/18;01/19
280010 Amparo do São Francisco;2;2;1;3;1;0;4;0;3;3;2;2;0;2;1;0;3;2
280020 Aquidabã;12;12;16;9;14;11;14;13;13;13;13;19;16;14;12;13;12;13
280030 Aracaju;281;327;309;274;309;302;261;321;308;346;285;294;285;276;281;265;289;296
280040 Arauá;7;3;4;10;1;3;5;5;8;2;6;3;3;7;8;5;3;0
280050 Areia Branca;12;7;8;11;7;9;10;6;7;11;4;8;10;9;11;6;7;9
280060 Barra dos Coqueiros;11;14;21;10;16;15;19;16;14;15;20;16;17;14;20;13;17;11
280067 Boquim;28;10;17;10;12;20;10;8;12;14;15;20;12;14;11;15;12;11
280070 Brejo Grande;4;2;2;2;6;3;3;5;2;6;3;2;7;4;5;2;5;3
280100 Campo do Brito;11;19;6;5;12;9;7;13;11;9;13;6;14;8;7;12;11;6
280110 Canhoba;3;4;1;3;2;2;1;6;2;1;1;2;2;2;3;2;2;2
280120 Canindé de São Francisco;8;12;9;12;14;10;9;12;13;8;12;14;6;13;4;9;11;11
280130 Capela;19;20;25;19;12;25;19;24;12;18;17;18;18;15;17;16;20;17
280140 Carira;16;8;16;11;6;8;16;16;8;9;14;10;13;5;11;12;16;11
280150 Carmópolis;8;8;10;7;9;8;3;6;11;8;5;5;8;9;6;7;7;6
280160 Cedro de São João;4;3;8;4;8;3;3;4;5;4;3;3;3;3;10;5;11;5
280170 Cristinápolis;8;12;9;10;8;8;9;8;11;7;8;11;6;8;7;6;9;5
280190 Cumbe;0;1;2;2;1;2;3;1;2;1;0;1;3;1;3;1;0;1
280200 Divina Pastora;0;5;1;2;4;0;2;1;4;3;3;2;0;6;0;3;0;2
280210 Estância;40;33;31;36;35;27;23;34;27;42;38;37;29;41;36;35;47;37
280220 Feira Nova;1;7;6;6;2;3;4;4;4;4;3;0;6;3;4;2;0;4
280230 Frei Paulo;10;7;7;10;9;4;1;7;6;7;11;12;8;13;3;5;9;7
280240 Gararu;7;4;7;5;5;9;7;2;10;5;6;5;5;3;1;2;1;5
280250 General Maynard;2;0;4;1;0;1;1;2;2;0;2;2;2;1;3;2;2;1
280260 Gracho Cardoso;4;1;3;4;4;6;1;2;7;3;7;5;6;2;5;3;2;3
280270 Ilha das Flores;1;3;5;5;7;6;2;4;4;0;4;4;5;7;3;3;7;3
280280 Indiaroba;8;8;8;4;7;6;6;8;8;7;9;6;11;7;10;4;7;6
280290 Itabaiana;57;43;51;36;58;59;52;58;54;52;54;59;43;45;52;42;48;54
280300 Itabaianinha;16;20;13;14;23;14;17;17;25;22;21;19;15;9;15;29;21;24
280310 Itabi;4;2;4;1;5;2;4;1;3;1;4;2;0;6;1;2;2;3
280320 Itaporanga d'Ajuda;21;16;15;15;21;11;11;13;17;23;31;18;20;17;20;10;18;22
280330 Japaratuba;8;8;16;7;7;4;6;9;7;7;11;7;6;7;12;11;11;5
280340 Japoatã;9;10;4;6;10;11;5;9;8;8;5;8;5;7;7;5;5;4
280350 Lagarto;56;52;55;50;47;58;49;38;45;58;48;58;51;45;54;51;59;57
280360 Laranjeiras;7;9;15;12;7;13;12;21;16;10;10;10;16;12;8;6;20;15
280370 Macambira;5;4;5;4;3;6;9;4;3;2;6;4;4;4;7;8;3;4
280380 Malhada dos Bois;0;5;3;3;3;2;3;6;4;1;0;4;6;2;3;5;2;5
280390 Malhador;11;7;6;8;9;4;8;7;6;2;15;6;1;5;4;6;11;4
280400 Maruim;12;11;9;12;11;7;6;6;4;9;10;9;4;16;17;4;9;11
280410 Moita Bonita;11;7;7;5;7;5;5;7;9;7;8;3;6;11;10;6;9;4
280420 Monte Alegre de Sergipe;4;7;10;6;5;3;8;8;5;4;9;7;8;1;4;4;3;5
280430 Muribeca;9;0;7;0;3;2;3;7;3;2;6;8;2;2;4;3;4;5
280440 Neópolis;11;14;8;10;10;14;10;8;16;7;16;12;12;8;10;9;12;17
280445 Nossa Senhora Aparecida;7;4;5;4;2;6;8;4;6;3;6;5;4;7;5;5;2;4
280450 Nossa Senhora da Glória;13;19;11;13;9;20;16;16;18;18;16;17;10;14;14;16;19;10
280460 Nossa Senhora das Dores;12;11;10;23;9;15;14;14;20;22;12;19;17;14;9;13;11;8
280470 Nossa Senhora de Lourdes;2;6;2;1;8;5;4;2;2;6;5;4;3;3;3;6;4;2
280480 Nossa Senhora do Socorro;77;87;98;84;92;62;61;81;88;101;63;77;66;66;60;75;71;62
280490 Pacatuba;8;7;12;9;8;8;6;8;5;5;7;9;6;5;10;6;9;11
280500 Pedra Mole;1;0;1;3;1;3;1;1;2;0;1;5;0;0;1;0;2;3
280510 Pedrinhas;6;4;7;6;3;11;3;7;11;4;7;8;7;6;5;12;3;1
280520 Pinhão;1;1;1;2;1;3;1;1;4;3;5;7;7;3;2;8;2;1
280530 Pirambu;3;2;4;5;6;5;1;3;4;3;1;2;8;11;6;3;7;3
280540 Poço Redondo;13;13;9;8;16;14;5;9;13;7;14;17;11;17;12;9;13;12
280550 Poço Verde;18;13;12;14;20;9;11;16;15;12;17;12;10;8;16;13;17;12
280560 Porto da Folha;21;20;10;11;10;15;11;15;8;11;13;14;12;11;5;10;10;15
280570 Propriá;18;18;16;17;17;18;21;22;23;23;26;10;20;19;15;10;19;13
280580 Riachão do Dantas;9;12;10;6;6;8;5;9;10;13;11;10;7;8;8;7;9;12
280590 Riachuelo;8;4;6;2;2;4;4;4;9;8;5;3;4;2;10;6;2;5
280600 Ribeirópolis;10;14;10;15;11;8;9;10;9;12;15;7;10;7;16;3;7;7
280610 Rosário do Catete;2;6;8;4;2;5;4;3;2;6;5;4;2;1;6;10;3;8
280620 Salgado;12;8;13;12;12;8;6;7;11;12;9;11;11;8;11;9;7;9
280630 Santa Luzia do Itanhy;5;4;6;8;8;6;8;8;6;11;10;7;9;3;5;2;11;6
280640 Santana do São Francisco;3;2;2;5;3;3;0;4;1;8;4;2;3;4;1;2;3;6
280650 Santa Rosa de Lima;5;1;1;0;5;2;2;0;1;2;3;2;1;3;2;2;0;3
280660 Santo Amaro das Brotas;5;11;5;2;9;8;3;6;4;7;5;8;8;5;6;12;5;3
280670 São Cristóvão;50;58;53;52;34;37;36;39;47;58;31;39;36;31;29;37;49;42
280680 São Domingos;5;4;5;3;6;5;2;7;5;4;7;4;7;4;5;2;6;9
280690 São Francisco;1;2;0;2;2;4;1;3;0;2;4;1;4;2;2;4;0;5
280700 São Miguel do Aleixo;0;1;1;2;3;3;3;0;2;1;1;0;3;3;3;0;0;2
280710 Simão Dias;30;33;26;20;20;30;14;17;17;27;24;22;16;25;25;22;23;19
280720 Siriri;2;3;3;2;6;6;2;5;4;4;5;3;3;3;6;6;1;5
280730 Telha;0;0;3;3;3;5;2;4;2;3;3;1;1;0;0;1;2;3
280740 Tobias Barreto;28;30;16;31;35;31;21;23;27;26;27;29;32;18;31;28;21;30
280750 Tomar do Geru;3;7;4;5;4;5;6;6;9;2;9;6;3;10;8;9;5;4
280760 Umbaúba;14;10;16;13;14;3;9;11;8;16;20;12;13;24;12;10;12;17
