Município;08/20;09/20;10/20;11/20;12/20;01/21;02/21;03/21;04/21;05/21;06/21;07/21;08/21;09/21;10/21;11/21;12/21;01/22
280350 Lagarto;74;66;46;57;66;51;49;60;69;109;76;58;64;42;58;48;66;82
280360 Laranjeiras;14;16;11;16;12;12;20;19;17;19;15;15;5;14;16;14;10;18
280370 Macambira;6;3;4;4;2;5;3;3;5;7;4;5;6;3;7;1;6;9
280380 Malhada dos Bois;1;4;2;0;3;1;0;1;1;1;6;3;5;2;4;1;5;1
280390 Malhador;13;6;12;3;5;9;7;4;8;15;14;12;6;11;12;10;10;10
280400 Maruim;8;5;9;6;8;11;9;14;11;12;12;10;9;14;14;14;10;10
280410 Moita Bonita;1;7;15;6;8;6;1;12;8;10;11;5;12;11;11;5;6;8
280420 Monte Alegre de Sergipe;6;8;6;9;7;3;10;9;3;3;9;8;8;7;3;8;6;6
280430 Muribeca;4;8;4;2;6;10;7;3;7;10;8;5;2;5;5;1;2;5
280440 Neópolis;5;11;11;12;16;9;8;11;9;13;13;6;11;15;7;14;12;15
280445 Nossa Senhora Aparecida;8;3;6;1;7;3;6;5;7;11;9;5;5;7;6;4;8;7
280450 Nossa Senhora da Glória;31;19;17;22;26;27;19;17;31;24;28;14;9;18;14;19;16;31
280460 Nossa Senhora das Dores;15;17;27;13;19;9;15;20;17;23;28;8;19;14;10;15;17;28
280470 Nossa Senhora de Lourdes;1;5;6;5;0;5;6;2;1;6;10;3;7;3;2;6;3;3
280480 Nossa Senhora do Socorro;104;105;75;84;83;89;70;148;159;159;126;93;67;78;66;62;91;109
280490 Pacatuba;7;8;6;9;15;6;2;7;10;11;10;4;2;8;8;6;8;5
280500 Pedra Mole;6;1;2;0;4;2;0;1;1;2;2;2;2;1;0;3;2;2
280510 Pedrinhas;12;4;5;4;7;7;1;5;9;10;3;6;4;7;2;3;7;8
280520 Pinhão;6;3;3;8;6;3;4;3;7;4;4;5;6;4;2;3;3;6
280530 Pirambu;4;3;8;4;6;4;3;5;4;10;4;5;5;2;5;5;3;6
280540 Poço Redondo;10;16;12;15;15;18;17;11;15;17;25;18;9;7;10;9;12;21
280550 Poço Verde;20;21;18;6;21;18;16;17;19;17;26;16;7;11;10;16;21;15
280560 Porto da Folha;16;20;13;16;16;14;11;13;16;23;22;22;15;14;14;12;16;17
280570 Propriá;26;20;16;19;16;19;15;26;14;27;41;28;14;17;16;13;14;31
280580 Riachão do Dantas;9;9;7;6;10;13;6;13;14;18;22;13;11;12;9;9;14;16
280590 Riachuelo;6;7;11;5;7;6;6;5;4;3;15;5;5;2;3;7;2;5
280600 Ribeirópolis;13;21;8;13;14;9;10;11;10;13;15;15;7;10;11;5;11;15
280610 Rosário do Catete;6;4;6;7;4;5;6;6;6;7;5;5;7;2;4;3;6;17
280620 Salgado;11;5;10;13;6;15;10;18;10;23;12;12;12;16;14;8;13;6
280630 Santa Luzia do Itanhy;6;6;3;10;5;14;5;4;10;12;13;2;7;10;11;3;6;6
280640 Santana do São Francisco;7;3;3;4;1;8;4;5;3;5;3;4;0;3;7;5;5;10
280650 Santa Rosa de Lima;1;0;6;3;1;0;2;3;1;2;2;1;0;1;2;2;5;6
280660 Santo Amaro das Brotas;1;3;7;3;5;8;4;9;7;6;10;7;5;3;1;3;8;9
280670 São Cristóvão;44;42;45;28;43;39;46;65;58;64;75;40;24;41;34;31;35;52
280680 São Domingos;4;3;5;4;7;4;4;12;18;5;4;15;8;5;6;10;7;1
280690 São Francisco;4;3;4;3;1;5;1;1;1;6;4;5;1;0;3;1;0;4
280700 São Miguel do Aleixo;4;1;5;3;4;2;2;1;4;2;2;4;4;0;2;1;4;3
280710 Simão Dias;38;24;21;24;31;32;25;24;20;40;26;35;22;23;21;21;29;32
280720 Siriri;8;7;4;2;5;9;4;3;2;3;6;4;3;4;6;4;6;9
280730 Telha;4;1;1;1;5;6;0;3;1;2;1;3;3;6;2;2;2;5
280740 Tobias Barreto;38;29;31;33;27;35;21;42;39;31;44;38;26;27;23;26;48;49
280750 Tomar do Geru;5;5;4;6;4;5;6;4;9;14;9;5;6;4;6;11;5;13
280760 Umbaúba;11;15;10;9;16;9;8;12;20;15;15;13;11;15;11;10;21;15
