Município;08/20;09/20;10/20;11/20;12/20;01/21;02/21;03/21;04/21;05/21;06/21;07/21;08/21;09/21;10/21;11/21;12/21;01/22
280010 Amparo do São Francisco;5;2;2;0;1;1;3;2;1;0;1;0;0;0;1;4;2;3
280020 Aquidabã;11;13;14;15;7;15;11;19;14;25;16;18;11;13;14;10;5;16
280030 Aracaju;410;322;342;325;348;331;329;569;678;561;492;385;328;290;320;315;330;446
280040 Arauá;9;5;7;9;2;6;6;8;7;7;9;6;8;4;8;6;8;16
280050 Areia Branca;11;7;14;8;11;9;7;15;21;15;14;18;8;9;14;12;11;19
280060 Barra dos Coqueiros;27;7;26;12;16;16;16;28;41;26;19;20;15;6;16;11;28;27
280067 Boquim;12;15;14;17;12;10;17;18;23;29;20;19;11;8;23;10;13;33
280070 Brejo Grande;6;4;11;4;5;4;1;5;3;3;7;5;3;2;4;3;5;7
280100 Campo do Brito;13;6;5;12;9;12;11;10;12;20;15;13;14;13;12;13;15;16
280110 Canhoba;2;3;3;6;2;0;1;1;6;4;9;3;4;0;3;1;2;3
280120 Canindé de São Francisco;17;14;17;22;8;10;13;22;15;20;22;17;16;10;11;10;11;14
280130 Capela;21;17;23;25;14;20;20;17;30;34;23;22;17;21;28;23;29;27
280140 Carira;15;15;11;13;12;8;12;22;14;16;20;13;11;11;10;8;14;18
280150 Carmópolis;9;7;4;5;5;14;7;9;10;6;13;6;10;7;6;12;9;5
280160 Cedro de São João;3;3;3;3;0;6;3;2;7;3;2;7;2;3;3;2;6;8
280170 Cristinápolis;21;14;11;8;7;10;9;7;9;17;14;14;15;12;11;12;6;21
280190 Cumbe;5;3;3;1;1;3;1;2;2;2;3;1;1;3;0;2;4;1
280200 Divina Pastora;6;3;3;3;0;3;4;4;8;6;2;0;3;2;1;3;4;1
280210 Estância;42;33;36;44;39;37;37;56;52;54;48;54;43;38;36;36;49;55
280220 Feira Nova;2;2;3;4;1;9;4;3;4;4;7;2;5;1;1;2;3;4
280230 Frei Paulo;16;8;11;9;9;7;15;6;6;9;13;9;10;4;10;4;8;14
280240 Gararu;6;9;7;3;10;10;4;3;4;9;9;13;8;11;3;4;6;8
280250 General Maynard;0;0;0;2;0;3;5;4;3;2;3;2;0;0;0;1;3;2
280260 Gracho Cardoso;0;2;5;2;3;1;3;3;3;3;6;4;4;2;3;3;3;7
280270 Ilha das Flores;7;7;2;9;1;4;3;6;9;6;5;4;6;7;9;9;7;11
280280 Indiaroba;7;14;6;13;10;5;6;11;5;15;5;18;7;7;4;6;10;11
280290 Itabaiana;68;45;46;46;51;46;47;75;74;102;94;68;65;44;47;61;50;69
280300 Itabaianinha;23;19;25;25;24;14;23;25;26;33;25;31;29;20;26;15;45;25
280310 Itabi;5;3;4;1;2;5;4;7;2;2;2;4;1;4;3;3;3;1
280320 Itaporanga d'Ajuda;17;17;24;13;14;24;13;24;16;14;28;26;19;17;14;13;11;15
280330 Japaratuba;10;14;5;8;11;8;8;10;13;11;12;7;13;10;12;4;17;12
280340 Japoatã;8;7;8;4;10;5;5;8;14;17;12;13;6;7;9;16;8;8
