Município;04/18;05/18;06/18;07/18;08/18;09/18;10/18;11/18;12/18;01/19;02/19;03/19;04/19;05/19;06/19;07/19;08/19;09/19
280010 Amparo do São Francisco;4;3;2;5;2;1;2;2;2;2;3;3;2;3;3;6;3;0
280020 Aquidabã;27;26;16;23;24;20;18;19;23;26;17;14;24;19;25;21;29;20
280030 Aracaju;875;898;811;777;813;773;708;707;702;715;683;811;729;801;741;766;704;692
280040 Arauá;6;17;18;14;12;12;12;6;8;10;21;7;7;18;9;9;8;10
280050 Areia Branca;20;40;25;23;21;27;22;13;27;27;20;26;23;22;28;22;22;22
280060 Barra dos Coqueiros;45;44;37;43;47;47;43;33;50;32;49;58;46;50;57;44;50;39
280067 Boquim;29;38;33;25;24;21;29;26;28;22;21;34;25;25;32;25;38;26
280070 Brejo Grande;10;11;13;10;13;15;10;8;7;15;6;15;6;11;11;10;11;12
280100 Campo do Brito;24;27;21;22;19;24;17;22;22;25;21;22;21;26;19;22;25;18
280110 Canhoba;7;6;9;5;5;8;6;5;6;7;3;4;7;11;4;5;4;8
280120 Canindé de São Francisco;57;59;53;56;38;32;41;42;47;42;52;53;47;59;61;31;39;37
280130 Capela;49;69;50;45;39;41;40;44;34;39;35;54;52;48;49;47;41;35
280140 Carira;25;34;23;23;29;25;20;31;21;20;30;29;20;27;22;15;32;31
280150 Carmópolis;23;24;29;24;15;13;18;14;20;21;20;23;25;25;21;21;22;21
280160 Cedro de São João;3;2;8;6;3;9;6;6;5;6;6;2;4;5;11;2;7;5
280170 Cristinápolis;28;28;23;17;22;33;23;22;28;19;26;26;26;24;27;30;17;27
280190 Cumbe;7;4;2;5;2;3;4;3;0;6;4;7;8;2;5;2;2;3
280200 Divina Pastora;12;7;1;5;4;5;6;6;2;4;6;3;5;6;5;3;4;5
280210 Estância;131;93;96;96;101;94;89;85;99;75;73;103;92;78;86;86;79;75
280220 Feira Nova;7;8;10;8;11;6;7;6;10;9;11;12;7;10;13;9;6;8
280230 Frei Paulo;16;8;19;16;25;17;13;13;19;25;23;30;26;17;22;24;14;18
280240 Gararu;16;17;15;17;14;11;16;10;17;12;9;17;9;11;2;16;14;9
280250 General Maynard;4;2;4;3;8;1;0;4;3;7;4;3;3;5;8;7;4;2
280260 Gracho Cardoso;11;7;3;2;9;8;7;4;3;3;5;3;7;6;15;5;8;2
280270 Ilha das Flores;13;13;10;12;12;16;10;20;9;14;9;12;12;9;7;14;17;7
280280 Indiaroba;26;34;35;26;26;24;19;14;17;13;21;28;38;33;16;22;22;24
280290 Itabaiana;159;161;128;117;136;107;100;101;114;114;122;144;129;141;137;127;131;111
280300 Itabaianinha;50;67;54;54;55;44;37;60;45;37;35;47;62;58;54;54;41;43
280310 Itabi;4;12;2;8;5;6;3;1;2;4;6;2;2;4;6;6;7;7
280320 Itaporanga d'Ajuda;63;64;56;54;43;69;43;42;40;42;51;35;55;45;47;46;40;39
280330 Japaratuba;20;18;23;22;17;15;17;12;19;18;10;26;23;18;19;16;16;25
280340 Japoatã;18;17;20;19;17;11;19;17;21;20;17;21;24;21;16;15;14;11
280350 Lagarto;162;144;141;140;102;123;103;137;113;136;142;134;128;133;133;123;135;138
280360 Laranjeiras;28;55;35;34;32;37;26;31;30;29;26;41;28;42;36;30;34;30
280370 Macambira;15;7;7;8;6;7;7;6;9;9;7;10;6;7;8;7;6;12
