Município;04/18;05/18;06/18;07/18;08/18;09/18;10/18;11/18;12/18;01/19;02/19;03/19;04/19;05/19;06/19;07/19;08/19;09/19
280380 Malhada dos Bois;5;9;3;4;5;5;5;5;6;4;6;8;9;3;3;5;4;5
280390 Malhador;9;18;17;24;14;20;12;4;14;12;9;12;17;16;18;17;15;15
280400 Maruim;17;27;22;29;28;15;20;24;28;22;21;25;18;20;22;21;17;14
280410 Moita Bonita;11;11;7;11;12;8;8;9;8;11;9;10;17;8;7;11;12;5
280420 Monte Alegre de Sergipe;23;22;29;25;15;16;23;23;28;26;17;17;21;30;15;26;18;14
280430 Muribeca;14;3;9;9;10;12;4;10;10;10;7;15;10;9;9;10;8;4
280440 Neópolis;31;24;25;27;17;18;20;13;23;18;16;21;23;22;24;19;22;16
280445 Nossa Senhora Aparecida;12;9;13;5;6;7;4;9;10;8;9;5;10;14;10;12;9;6
280450 Nossa Senhora da Glória;60;49;46;48;45;48;53;50;52;49;66;69;60;53;59;40;43;40
280460 Nossa Senhora das Dores;25;41;32;36;32;25;24;34;25;17;30;40;27;32;28;25;25;18
280470 Nossa Senhora de Lourdes;7;7;3;6;5;8;2;6;5;3;9;6;6;9;5;11;3;2
280480 Nossa Senhora do Socorro;335;315;278;246;267;239;251;247;260;250;254;273;267;259;257;247;254;265
280490 Pacatuba;24;23;21;31;13;22;21;17;17;18;22;18;22;13;18;25;26;23
280500 Pedra Mole;3;4;6;4;0;3;5;3;0;5;1;2;4;0;1;6;3;2
280510 Pedrinhas;9;12;15;8;11;7;7;7;6;7;8;11;11;14;11;9;10;9
280520 Pinhão;7;12;8;5;4;2;6;10;6;3;7;8;9;5;8;6;7;9
280530 Pirambu;14;9;14;18;14;12;14;9;11;12;6;9;11;15;12;16;9;7
280540 Poço Redondo;55;55;61;37;55;34;54;35;29;36;31;47;56;49;42;43;43;44
280550 Poço Verde;24;22;25;30;14;27;28;22;34;25;27;33;29;32;28;18;23;32
280560 Porto da Folha;30;45;37;35;33;34;30;25;25;38;36;35;35;32;30;24;31;39
280570 Propriá;41;49;40;39;34;35;44;43;38;38;26;35;58;36;47;37;41;36
280580 Riachão do Dantas;33;22;18;17;20;13;15;18;15;30;25;21;18;29;15;27;21;23
280590 Riachuelo;15;15;8;10;13;7;13;13;8;11;12;13;20;19;13;10;11;21
280600 Ribeirópolis;16;12;19;9;16;16;23;12;21;16;10;19;12;18;23;17;21;11
280610 Rosário do Catete;15;11;29;14;11;9;11;10;11;16;14;10;21;16;16;12;8;10
280620 Salgado;22;22;23;27;20;21;22;19;31;24;26;25;23;20;23;16;18;24
280630 Santa Luzia do Itanhy;19;24;17;22;15;14;22;22;14;19;19;19;20;22;16;22;15;21
280640 Santana do São Francisco;7;14;12;13;7;6;7;9;8;12;6;11;12;5;10;11;2;7
280650 Santa Rosa de Lima;1;5;6;7;4;2;3;4;6;7;4;3;5;9;5;7;5;0
280660 Santo Amaro das Brotas;13;15;15;17;14;16;11;11;12;12;16;15;14;7;18;13;16;18
280670 São Cristóvão;137;134;109;113;118;113;118;96;85;119;101;126;116;105;126;88;105;109
280680 São Domingos;12;18;9;21;12;13;13;11;13;9;7;10;18;12;10;12;7;10
280690 São Francisco;4;4;1;1;2;2;2;2;4;2;3;2;4;6;1;4;9;2
280700 São Miguel do Aleixo;6;7;3;2;6;3;1;4;5;1;4;4;3;5;3;3;5;3
280710 Simão Dias;64;56;46;39;57;53;50;57;48;65;59;73;53;55;68;66;53;46
280720 Siriri;11;9;6;8;8;8;10;9;10;6;11;12;8;12;5;18;11;10
280730 Telha;4;5;7;6;6;3;3;5;1;5;8;4;3;4;6;6;5;4
280740 Tobias Barreto;61;67;59;65;62;45;51;50;62;56;47;68;56;54;65;65;52;74
280750 Tomar do Geru;12;21;16;20;10;9;13;19;14;15;28;15;15;22;11;14;16;13
280760 Umbaúba;42;41;40;26;27;28;30;37;34;38;32;30;32;42;29;26;17;26
