Município;07/19;08/19;09/19;10/19;11/19;12/19;01/20;02/20;03/20;04/20;05/20;06/20;07/20;08/20;09/20;10/20;11/20;12/20
280640 Santana do São Francisco;11;2;7;4;8;11;6;7;9;10;12;10;3;8;15;10;13;13
280650 Santa Rosa de Lima;7;5;0;6;5;4;3;5;5;7;10;7;4;2;5;7;10;3
280660 Santo Amaro das Brotas;13;16;18;10;16;17;12;9;11;19;17;15;8;8;12;17;15;12
280670 São Cristóvão;88;104;110;99;99;94;93;100;141;122;112;109;114;101;96;97;94;91
280680 São Domingos;12;7;10;16;10;8;10;10;12;11;11;10;12;10;3;10;10;4
280690 São Francisco;4;9;2;1;8;3;2;4;3;6;5;3;7;7;3;4;5;5
280700 São Miguel do Aleixo;3;5;3;3;6;4;3;4;7;6;7;2;6;2;6;5;3;3
280710 Simão Dias;66;53;46;43;54;56;50;44;49;41;59;46;64;56;58;51;43;49
280720 Siriri;18;11;10;14;12;13;8;8;9;9;14;7;12;10;7;10;6;12
280730 Telha;6;5;4;4;2;5;2;10;3;5;4;5;3;6;4;2;2;1
280740 Tobias Barreto;65;52;74;66;59;59;58;63;77;62;47;52;62;55;45;59;48;54
280750 Tomar do Geru;14;16;13;19;11;9;9;13;15;15;14;15;9;11;17;10;11;13
280760 Umbaúba;26;17;26;26;23;24;28;36;49;40;45;39;37;34;29;30;21;30
