,data,valor,igpm,Ano_mes_original,Ano_mes,seq_tempo
118,2022-11-01,-0.56,5.8100000000000005,202211,202211,53.0
119,2022-12-01,0.45,5.390000000000001,202212,202212,54.0
120,2023-01-01,0.21,3.78,202301,202301,55.0
121,2023-02-01,-0.06,1.89,202302,202302,56.0
122,2023-03-01,0.05,0.19999999999999996,202303,202303,57.0
123,2023-04-01,-0.95,-2.16,202304,202304,58.0
124,2023-05-01,-1.84,-4.52,202305,202305,59.0
125,2023-06-01,-1.93,-7.04,202306,202306,60.0
126,2023-07-01,-0.72,-7.97,202307,202307,
127,2023-08-01,-0.14,-7.409999999999999,202308,202308,
